,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
53,501.8375,0.0,0.0,0.0,3.001e-05,0.0,0.0,0.00073553,2.419e-05,2.452e-05,0.00222045,0.00122048,0.00121997,0.02081354,0.02177091,0.02175751,0.01106253,0.00995763,0.00999228,0.03486206,0.03297322,0.03299427,-0.00188884,-0.00186779
54,525.6125,0.0,0.0,0.0,2.701e-05,0.0,0.0,0.00069449,1.639e-05,1.659e-05,0.00189814,0.00094096,0.00093916,0.02054758,0.02168518,0.02168023,0.01142235,0.01033141,0.01038003,0.03458956,0.03297394,0.033016,-0.00161562,-0.00157356
55,549.3875,0.0,0.0,0.0,2.437e-05,0.0,0.0,0.00065702,1.116e-05,1.13e-05,0.00161896,0.00072146,0.00071988,0.02023707,0.02154438,0.02154065,0.01177141,0.01070122,0.01075621,0.03430884,0.03297822,0.03302804,-0.00133062,-0.0012808
56,573.1625,0.0,0.0,0.0,2.205e-05,0.0,0.0,0.0006227,7.64e-06,7.74e-06,0.00137808,0.00055041,0.00054955,0.01988864,0.02135357,0.02134608,0.01210981,0.01106723,0.01112168,0.03402127,0.03297886,0.03302505,-0.00104241,-0.00099622
57,596.9375,0.0,0.0,0.0,1.999e-05,0.0,0.0,0.00059117,5.26e-06,5.34e-06,0.00117096,0.00041803,0.00041791,0.01950835,0.02111761,0.02110309,0.01243758,0.01142955,0.0114772,0.03372805,0.03297045,0.03300354,-0.0007576,-0.00072451
58,620.7125,0.0,0.0,0.0,1.817e-05,0.0,0.0,0.00056211,3.64e-06,3.7e-06,0.00099346,0.00031619,0.00031664,0.0191017,0.02084112,0.02081765,0.01275474,0.01178823,0.0118234,0.03343018,0.03294919,0.03296139,-0.00048099,-0.00046879
59,644.4875,0.0,0.0,0.0,1.655e-05,0.0,0.0,0.00053526,2.53e-06,2.58e-06,0.00084183,0.0002383,0.00023862,0.01867365,0.02052849,0.02050273,0.01306125,0.01214332,0.01218023,0.03312853,0.03291264,0.03292416,-0.00021589,-0.00020437
60,668.2625,0.0,0.0,0.0,1.51e-05,0.0,0.0,0.00051031,1.77e-06,1.8e-06,0.00071255,0.00017898,0.00017912,0.0182262,0.02018138,0.0201596,0.01335528,0.01249309,0.01254222,0.03281944,0.03285523,0.03288273,3.579e-05,6.329e-05
61,692.0375,0.0,0.0,0.0,1.38e-05,0.0,0.0,0.0004871,1.25e-06,1.27e-06,0.00060269,0.00013403,0.00013419,0.01776454,0.0198049,0.01978664,0.01363744,0.01283811,0.01289486,0.03250557,0.03277829,0.03281697,0.00027272,0.0003114
62,715.8125,0.0,0.0,0.0,1.264e-05,0.0,0.0,0.0004655,8.8e-07,9e-07,0.0005096,0.00010012,0.00010034,0.01729395,0.0194046,0.01938824,0.01390894,0.01317951,0.01323867,0.03219064,0.03268511,0.03272815,0.00049447,0.00053751
63,739.5875,0.0,0.0,0.0,1.16e-05,0.0,0.0,0.00044537,6.3e-07,6.4e-07,0.00043087,7.462e-05,7.49e-05,0.01681751,0.01898394,0.01896834,0.01416975,0.01351723,0.01357402,0.03187511,0.03257642,0.0326179,0.00070131,0.00074279
64,763.3625,0.0,0.0,0.0,1.066e-05,0.0,0.0,0.00042654,4.5e-07,4.6e-07,0.00036441,5.55e-05,5.581e-05,0.01633788,0.01854613,0.01853055,0.01441972,0.01385111,0.01390115,0.03155922,0.03245319,0.03248797,0.00089397,0.00092875
65,787.1375,0.0,0.0,0.0,9.82e-06,0.0,0.0,0.00040889,3.2e-07,3.3e-07,0.00030837,4.121e-05,4.152e-05,0.01585728,0.01809411,0.01807809,0.01465843,0.0141807,0.01421998,0.03124279,0.03231634,0.03233992,0.00107355,0.00109713
66,810.9125,0.0,0.0,0.0,9.05e-06,0.0,0.0,0.00039225,2.3e-07,2.4e-07,0.00026119,3.055e-05,3.077e-05,0.01537752,0.01763054,0.01761499,0.01488487,0.01450498,0.01455012,0.03092488,0.0321663,0.03219612,0.00124142,0.00127124
67,834.6875,0.0,0.0,0.0,8.35e-06,0.0,0.0,0.00037646,1.7e-07,1.7e-07,0.00022148,2.262e-05,2.277e-05,0.01490001,0.01715779,0.01714273,0.01509739,0.01482227,0.01487756,0.0306037,0.03200286,0.03204323,0.00139916,0.00143953
68,858.4625,0.0,0.0,0.0,7.72e-06,0.0,0.0,0.0003614,1.2e-07,1.3e-07,0.00018809,1.673e-05,1.684e-05,0.01442602,0.01667816,0.01666322,0.01529456,0.01513102,0.01519219,0.03027779,0.03182603,0.03187237,0.00154824,0.00159458
69,882.2375,0.0,0.0,0.0,7.14e-06,0.0,0.0,0.00034702,9e-08,9e-08,0.00016,1.236e-05,1.245e-05,0.01395697,0.01619393,0.01617892,0.01547642,0.01543104,0.01549426,0.02994756,0.03163742,0.03168573,0.00168986,0.00173817
70,906.0125,0.0,0.0,0.0,6.61e-06,0.0,0.0,0.00033336,7e-08,7e-08,0.00013639,9.13e-06,9.2e-06,0.01349441,0.01570738,0.01569222,0.01564461,0.01572368,0.01578547,0.02961538,0.03144025,0.03148695,0.00182487,0.00187157
71,929.7875,0.0,0.0,0.0,6.13e-06,0.0,0.0,0.00032044,5e-08,5e-08,0.00011654,6.73e-06,6.8e-06,0.01303969,0.01522055,0.01520521,0.01580108,0.0160106,0.01606776,0.02928387,0.03123793,0.03127982,0.00195406,0.00199595
72,953.5625,0.0,0.0,0.0,5.69e-06,0.0,0.0,0.00030825,4e-08,4e-08,9.983e-05,4.96e-06,5.02e-06,0.01259381,0.01473517,0.01471966,0.01594719,0.01629297,0.01634253,0.02895477,0.03103314,0.03106725,0.00207837,0.00211248
73,977.3375,0.0,0.0,0.0,5.29e-06,0.0,0.0,0.00029676,3e-08,3e-08,8.576e-05,3.66e-06,3.71e-06,0.01215747,0.01425271,0.01423708,0.01608374,0.0165714,0.01661062,0.02862902,0.03082779,0.03085143,0.00219877,0.00222241
74,1001.1125,0.0,0.0,0.0,4.93e-06,0.0,0.0,0.00028592,2e-08,2e-08,7.391e-05,2.69e-06,2.73e-06,0.01173118,0.01377445,0.01375876,0.0162112,0.01684621,0.01687371,0.02830714,0.03062337,0.03063523,0.00231623,0.00232809
